,GeoFIPS,LineCode,Description,Unit,2016,2017,2018,2019
0, 00000,1.0,Personal income (thousands of dollars),Thousands of dollars,16151881000,16937582000,17839255000,18542262000
1, 00000,2.0,Population (persons) 1/,Number of persons,322941311,324985539,326687501,328239523
2, 00000,3.0,Per capita personal income (dollars) 2/,Dollars,50015,52118,54606,56490
3, 01000,1.0,Personal income (thousands of dollars),Thousands of dollars,192281933,199999756,208752683,216449038
4, 01000,2.0,Population (persons) 1/,Number of persons,4863525,4874486,4887681,4903185
5, 01000,3.0,Per capita personal income (dollars) 2/,Dollars,39536,41030,42710,44145
6, 01001,1.0,Personal income (thousands of dollars),Thousands of dollars,2203281,2276561,2360366,2453617
7, 01001,2.0,Population (persons) 1/,Number of persons,55243,55390,55533,55869
8, 01001,3.0,Per capita personal income (dollars) 2/,Dollars,39883,41101,42504,43917
9, 01003,1.0,Personal income (thousands of dollars),Thousands of dollars,8956578,9471242,10065966,10600260
10, 01003,2.0,Population (persons) 1/,Number of persons,207601,212521,217855,223234
11, 01003,3.0,Per capita personal income (dollars) 2/,Dollars,43143,44566,46205,47485
12, 01005,1.0,Personal income (thousands of dollars),Thousands of dollars,824046,838184,872189,882834
13, 01005,2.0,Population (persons) 1/,Number of persons,25806,25157,24872,24686
14, 01005,3.0,Per capita personal income (dollars) 2/,Dollars,31932,33318,35067,35763
15, 01007,1.0,Personal income (thousands of dollars),Thousands of dollars,654451,662652,683509,710451
16, 01007,2.0,Population (persons) 1/,Number of persons,22586,22550,22367,22394
17, 01007,3.0,Per capita personal income (dollars) 2/,Dollars,28976,29386,30559,31725
18, 01009,1.0,Personal income (thousands of dollars),Thousands of dollars,1891651,1983097,2060734,2105550
19, 01009,2.0,Population (persons) 1/,Number of persons,57494,57787,57771,57826
20, 01009,3.0,Per capita personal income (dollars) 2/,Dollars,32902,34317,35671,36412
21, 01011,1.0,Personal income (thousands of dollars),Thousands of dollars,270164,273793,283761,293741
22, 01011,2.0,Population (persons) 1/,Number of persons,10389,10176,10174,10101
23, 01011,3.0,Per capita personal income (dollars) 2/,Dollars,26005,26906,27891,29080
24, 01013,1.0,Personal income (thousands of dollars),Thousands of dollars,688287,712049,722093,729749
25, 01013,2.0,Population (persons) 1/,Number of persons,20012,19888,19631,19448
26, 01013,3.0,Per capita personal income (dollars) 2/,Dollars,34394,35803,36783,37523
27, 01015,1.0,Personal income (thousands of dollars),Thousands of dollars,4014894,4121206,4228930,4361788
28, 01015,2.0,Population (persons) 1/,Number of persons,114973,114710,114331,113605
29, 01015,3.0,Per capita personal income (dollars) 2/,Dollars,34920,35927,36988,38394
30, 01017,1.0,Personal income (thousands of dollars),Thousands of dollars,1103597,1110310,1155666,1193820
31, 01017,2.0,Population (persons) 1/,Number of persons,33745,33707,33600,33254
32, 01017,3.0,Per capita personal income (dollars) 2/,Dollars,32704,32940,34395,35900
33, 01019,1.0,Personal income (thousands of dollars),Thousands of dollars,861753,893500,937468,954378
34, 01019,2.0,Population (persons) 1/,Number of persons,25768,25805,26014,26196
35, 01019,3.0,Per capita personal income (dollars) 2/,Dollars,33443,34625,36037,36432
36, 01021,1.0,Personal income (thousands of dollars),Thousands of dollars,1425578,1494017,1548034,1607766
37, 01021,2.0,Population (persons) 1/,Number of persons,43866,44120,44163,44428
38, 01021,3.0,Per capita personal income (dollars) 2/,Dollars,32498,33863,35053,36188
39, 01023,1.0,Personal income (thousands of dollars),Thousands of dollars,473209,483967,499153,505385
40, 01023,2.0,Population (persons) 1/,Number of persons,13045,12925,12833,12589
41, 01023,3.0,Per capita personal income (dollars) 2/,Dollars,36275,37444,38896,40145
42, 01025,1.0,Personal income (thousands of dollars),Thousands of dollars,848943,852280,869079,896816
43, 01025,2.0,Population (persons) 1/,Number of persons,24340,24063,23918,23622
44, 01025,3.0,Per capita personal income (dollars) 2/,Dollars,34879,35419,36336,37965
45, 01027,1.0,Personal income (thousands of dollars),Thousands of dollars,420675,433762,446853,454255
46, 01027,2.0,Population (persons) 1/,Number of persons,13393,13350,13294,13235
47, 01027,3.0,Per capita personal income (dollars) 2/,Dollars,31410,32492,33613,34322
48, 01029,1.0,Personal income (thousands of dollars),Thousands of dollars,507354,528277,544002,533646
49, 01029,2.0,Population (persons) 1/,Number of persons,14848,14899,15010,14910
50, 01029,3.0,Per capita personal income (dollars) 2/,Dollars,34170,35457,36243,35791
51, 01031,1.0,Personal income (thousands of dollars),Thousands of dollars,2062421,2136577,2226721,2301936
52, 01031,2.0,Population (persons) 1/,Number of persons,51202,51853,51950,52342
53, 01031,3.0,Per capita personal income (dollars) 2/,Dollars,40280,41205,42863,43979
54, 01033,1.0,Personal income (thousands of dollars),Thousands of dollars,1987143,2044009,2107713,2191897
55, 01033,2.0,Population (persons) 1/,Number of persons,54497,54695,55004,55241
56, 01033,3.0,Per capita personal income (dollars) 2/,Dollars,36463,37371,38319,39679
57, 01035,1.0,Personal income (thousands of dollars),Thousands of dollars,382981,397253,412559,421037
58, 01035,2.0,Population (persons) 1/,Number of persons,12500,12431,12292,12067
59, 01035,3.0,Per capita personal income (dollars) 2/,Dollars,30638,31957,33563,34892
60, 01037,1.0,Personal income (thousands of dollars),Thousands of dollars,318048,324868,333585,346796
61, 01037,2.0,Population (persons) 1/,Number of persons,10819,10724,10643,10663
62, 01037,3.0,Per capita personal income (dollars) 2/,Dollars,29397,30294,31343,32523
63, 01039,1.0,Personal income (thousands of dollars),Thousands of dollars,1250556,1300789,1336613,1361768
64, 01039,2.0,Population (persons) 1/,Number of persons,37382,37062,36953,37049
65, 01039,3.0,Per capita personal income (dollars) 2/,Dollars,33453,35098,36171,36756
66, 01041,1.0,Personal income (thousands of dollars),Thousands of dollars,481824,497056,509795,511186
67, 01041,2.0,Population (persons) 1/,Number of persons,13916,13858,13825,13772
68, 01041,3.0,Per capita personal income (dollars) 2/,Dollars,34624,35868,36875,37118
69, 01043,1.0,Personal income (thousands of dollars),Thousands of dollars,3042901,3191471,3338067,3419217
70, 01043,2.0,Population (persons) 1/,Number of persons,82450,82867,83418,83768
71, 01043,3.0,Per capita personal income (dollars) 2/,Dollars,36906,38513,40016,40818
72, 01045,1.0,Personal income (thousands of dollars),Thousands of dollars,1721761,1766864,1821383,1861330
73, 01045,2.0,Population (persons) 1/,Number of persons,49362,49342,49143,49172
74, 01045,3.0,Per capita personal income (dollars) 2/,Dollars,34880,35809,37063,37853
75, 01047,1.0,Personal income (thousands of dollars),Thousands of dollars,1349994,1362892,1385273,1426903
76, 01047,2.0,Population (persons) 1/,Number of persons,40080,39238,38294,37196
77, 01047,3.0,Per capita personal income (dollars) 2/,Dollars,33682,34734,36175,38362
78, 01049,1.0,Personal income (thousands of dollars),Thousands of dollars,2138842,2251689,2330853,2377212
79, 01049,2.0,Population (persons) 1/,Number of persons,71104,71437,71407,71513
80, 01049,3.0,Per capita personal income (dollars) 2/,Dollars,30080,31520,32642,33242
81, 01051,1.0,Personal income (thousands of dollars),Thousands of dollars,3235719,3368910,3459535,3598857
82, 01051,2.0,Population (persons) 1/,Number of persons,81204,81422,81011,81209
83, 01051,3.0,Per capita personal income (dollars) 2/,Dollars,39847,41376,42705,44316
84, 01053,1.0,Personal income (thousands of dollars),Thousands of dollars,1153726,1187983,1205171,1261355
85, 01053,2.0,Population (persons) 1/,Number of persons,37475,36993,36524,36633
86, 01053,3.0,Per capita personal income (dollars) 2/,Dollars,30787,32114,32997,34432
87, 01055,1.0,Personal income (thousands of dollars),Thousands of dollars,3607098,3714857,3821755,3919481
88, 01055,2.0,Population (persons) 1/,Number of persons,102855,103007,102611,102268
89, 01055,3.0,Per capita personal income (dollars) 2/,Dollars,35070,36064,37245,38326
90, 01057,1.0,Personal income (thousands of dollars),Thousands of dollars,541514,556048,576254,594454
91, 01057,2.0,Population (persons) 1/,Number of persons,16563,16466,16445,16302
92, 01057,3.0,Per capita personal income (dollars) 2/,Dollars,32694,33769,35041,36465
93, 01059,1.0,Personal income (thousands of dollars),Thousands of dollars,993470,1042100,1086487,1106841
94, 01059,2.0,Population (persons) 1/,Number of persons,31611,31542,31298,31362
95, 01059,3.0,Per capita personal income (dollars) 2/,Dollars,31428,33038,34714,35292
96, 01061,1.0,Personal income (thousands of dollars),Thousands of dollars,875485,905832,934529,968033
97, 01061,2.0,Population (persons) 1/,Number of persons,26494,26385,26306,26271
98, 01061,3.0,Per capita personal income (dollars) 2/,Dollars,33045,34331,35525,36848
99, 01063,1.0,Personal income (thousands of dollars),Thousands of dollars,264303,264173,260721,270791
100, 01063,2.0,Population (persons) 1/,Number of persons,8482,8310,8209,8111
101, 01063,3.0,Per capita personal income (dollars) 2/,Dollars,31160,31790,31760,33386
102, 01065,1.0,Personal income (thousands of dollars),Thousands of dollars,520905,530495,539605,559776
103, 01065,2.0,Population (persons) 1/,Number of persons,14828,14801,14749,14651
104, 01065,3.0,Per capita personal income (dollars) 2/,Dollars,35130,35842,36586,38207
105, 01067,1.0,Personal income (thousands of dollars),Thousands of dollars,669234,700255,728803,748459
106, 01067,2.0,Population (persons) 1/,Number of persons,17072,17115,17173,17205
107, 01067,3.0,Per capita personal income (dollars) 2/,Dollars,39201,40915,42439,43502
108, 01069,1.0,Personal income (thousands of dollars),Thousands of dollars,4162847,4314958,4527737,4727293
109, 01069,2.0,Population (persons) 1/,Number of persons,104218,104378,104770,105882
110, 01069,3.0,Per capita personal income (dollars) 2/,Dollars,39944,41340,43216,44647
111, 01071,1.0,Personal income (thousands of dollars),Thousands of dollars,1810844,1864073,1918362,1978062
112, 01071,2.0,Population (persons) 1/,Number of persons,51988,51828,51621,51626
113, 01071,3.0,Per capita personal income (dollars) 2/,Dollars,34832,35967,37162,38315
114, 01073,1.0,Personal income (thousands of dollars),Thousands of dollars,32979113,34907850,36644708,37755657
115, 01073,2.0,Population (persons) 1/,Number of persons,660343,659599,659429,658573
116, 01073,3.0,Per capita personal income (dollars) 2/,Dollars,49942,52923,55570,57329
117, 01075,1.0,Personal income (thousands of dollars),Thousands of dollars,446852,453451,469268,485217
118, 01075,2.0,Population (persons) 1/,Number of persons,13928,13882,13882,13805
119, 01075,3.0,Per capita personal income (dollars) 2/,Dollars,32083,32665,33804,35148
120, 01077,1.0,Personal income (thousands of dollars),Thousands of dollars,3284123,3340874,3471469,3593998
121, 01077,2.0,Population (persons) 1/,Number of persons,92425,92564,92604,92729
122, 01077,3.0,Per capita personal income (dollars) 2/,Dollars,35533,36093,37487,38758
123, 01079,1.0,Personal income (thousands of dollars),Thousands of dollars,1044125,1085086,1122759,1153613
124, 01079,2.0,Population (persons) 1/,Number of persons,33227,33063,32941,32924
125, 01079,3.0,Per capita personal income (dollars) 2/,Dollars,31424,32819,34084,35039
126, 01081,1.0,Personal income (thousands of dollars),Thousands of dollars,5720244,5948184,6280809,6545660
