,FIPS Code,adult_fullvax_pct
0,1079,0.324
1,1107,0.294
2,1035,0.289
3,4021,0.34
4,1067,0.311
5,2158,
6,4015,0.255
7,1133,0.142
8,2275,0.52
9,5019,0.339
10,1039,0.228
11,1065,0.424
12,2130,0.527
13,5015,0.312
14,2070,0.47
15,12045,0.325
16,17047,0.312
17,13101,0.071
18,13313,0.116
19,12063,0.282
20,13129,0.048
21,13093,0.084
22,13293,0.279
23,13089,0.205
24,17037,0.349
25,16077,0.442
26,13111,0.142
27,18069,0.385
28,13263,0.181
29,18043,0.467
30,13289,0.023
31,13275,0.131
32,16057,0.425
33,36109,0.592
34,31055,0.499
35,35027,0.31
36,37053,0.355
37,36073,0.363
38,31163,0.358
39,37071,0.315
40,37035,0.377
41,36019,0.588
42,32011,0.232
43,36027,0.484
44,36097,0.504
45,21105,0.256
46,21153,0.359
47,22063,0.259
48,22003,0.226
49,22055,0.333
50,22081,0.252
51,22029,0.22
52,26105,0.493
53,28111,0.252
54,27037,0.476
55,27065,0.332
56,26139,0.452
57,25011,0.461
58,28027,0.305
59,29029,0.295
60,29167,0.269
61,27161,0.448
62,29021,0.289
63,28151,0.307
64,31061,0.323
65,34001,0.501
66,34025,0.482
67,37151,0.296
68,37169,0.256
69,32023,0.318
70,31097,0.418
71,33005,0.377
72,31083,0.363
73,34003,0.551
74,34009,0.59
75,31131,0.439
76,32009,0.3
77,31031,0.297
78,31185,0.412
79,31165,0.191
80,31013,0.256
81,36081,0.466
82,35023,0.336
83,35047,0.332
84,36057,0.477
85,37005,0.419
86,36045,0.511
87,36033,0.499
88,39095,0.457
89,40101,0.355
90,37177,0.332
91,37133,0.352
92,39023,0.436
93,46051,0.388
94,42115,0.325
95,45017,0.258
96,45019,0.462
97,44003,0.529
98,42091,0.441
99,45003,0.32
100,45079,0.378
101,48339,
102,48143,
103,48279,
104,48179,
105,48193,
106,48127,
107,48131,
108,48217,
109,48145,
110,48049,
111,53053,0.384
112,48427,
113,48423,
114,51035,0.067
115,48499,
116,48403,
117,54009,0.17
118,55015,0.439
119,55057,0.415
